x,y
2020-07-30,1768127.8407851644
2020-07-31,1822661.2911500772
2020-08-01,1878011.9946337854
2020-08-02,1934171.0505735553
2020-08-03,1991129.1231658089
2020-08-04,2048876.444553898
2020-08-05,2107402.818124857
2020-08-06,2166697.6220146394
2020-08-07,2226749.8128224155
2020-08-08,2287547.9295334043
2020-08-09,2349080.0976507696
2020-08-10,2411334.033536078
2020-08-11,2474297.048958566
2020-08-12,2537956.055853293
2020-08-13,2602297.5712880446
2020-08-14,2667307.7226389674
2020-08-15,2732972.252974908
2020-08-16,2799276.526650858
2020-08-17,2866205.535109708
2020-08-18,2933743.902893318
2020-08-19,3001875.8938618796
2020-08-20,3070585.4176223283
2020-08-21,3139856.0361656155
2020-08-22,3209670.9707122943
2020-08-23,3280013.1087677204
2020-08-24,3350865.0113851563
2020-08-25,3422208.920638196
2020-08-26,3494026.76730176
2020-08-27,3566300.1787420935
2020-08-28,3639010.4870151463
2020-08-29,3712138.737174112
2020-08-30,3785665.6957858223
2020-08-31,3859571.859655253
2020-09-01,3933837.464759688
2020-09-02,4008442.4953911123
2020-09-03,4083366.6935074353
2020-09-04,4158589.5682929107
2020-09-05,4234090.40592652
2020-09-06,4309848.279560261
2020-09-07,4385842.059505038
2020-09-08,4462050.423626239
2020-09-09,4538451.8679476725
2020-09-10,4615024.717464367
2020-09-11,4691747.13716419
2020-09-12,4768597.143258036
2020-09-13,4845552.61461924
2020-09-14,4922591.304431477
2020-09-15,4999690.852045284
2020-09-16,5076828.795043648
2020-09-17,5153982.581516541
2020-09-18,5231129.582543646
2020-09-19,5308247.104886236
2020-09-20,5385312.403888239
2020-09-21,5462302.696584995
2020-09-22,5539195.175022023
2020-09-23,5615967.01978163
2020-09-24,5692595.413718983
2020-09-25,5769057.555906435
2020-09-26,5845330.675786883
2020-09-27,5921392.047536071
2020-09-28,5997219.004633205
2020-09-29,6072788.95464085
2020-09-30,6148079.394193427
2020-10-01,6223067.924194227
2020-10-02,6297732.265221709
2020-10-03,6372050.2731440235
2020-10-04,6445999.954943014
2020-10-05,6519559.484746165
2020-10-06,6592707.220068039
2020-10-07,6665421.718260223
2020-10-08,6737681.753169883
2020-10-09,6809466.332007508
2020-10-10,6880754.712422986
2020-10-11,6951526.419790805
2020-10-12,7021761.264703905
2020-10-13,7091439.360676406
2020-10-14,7160541.142054727
2020-10-15,7229047.382138289
2020-10-16,7296939.211508042
2020-10-17,7364198.136564611
2020-10-18,7430806.058274541
2020-10-19,7496745.2911259
2020-10-20,7561998.582292154
2020-10-21,7626549.131005541
2020-10-22,7690380.608138015
2020-10-23,7753477.175992566
2020-10-24,7815823.508301836
2020-10-25,7877404.810436501
2020-10-26,7938206.839822053
2020-10-27,7998215.926563981
2020-10-28,8057418.99428309
2020-10-29,8115803.58115781
2020-10-30,8173357.861176441
2020-10-31,8230070.665598209
2020-11-01,8285931.504622045
2020-11-02,8340930.589265925
2020-11-03,8395058.853453012
2020-11-04,8448307.976307854
2020-11-05,8500670.404661283
2020-11-06,8552139.375763904
2020-11-07,8602708.940207524
2020-11-08,8652373.98505724
2020-11-09,8701130.257190434
2020-11-10,8748974.386845622
2020-11-11,8795903.911380023
2020-11-12,8841917.299235234
2020-11-13,8887013.974112792
2020-11-14,8931194.339356998
2020-11-15,8974459.80254822
2020-11-16,9016812.800303927
2020-11-17,9058256.82328827
2020-11-18,9098796.441431802
2020-11-19,9138437.329358192
2020-11-20,9177186.292021442
2020-11-21,9215051.290550588
2020-11-22,9252041.468303332
2020-11-23,9288167.177129786
2020-11-24,9323440.003843283
2020-11-25,9357872.796900677
2020-11-26,9391479.693291811
2020-11-27,9424276.145637425
2020-11-28,9456278.949495275
2020-11-29,9487506.270876117
2020-11-30,9517977.673967505
2020-12-01,9547714.149067478
2020-12-02,9576738.140725767
2020-12-03,9605073.576094491
2020-12-04,9632745.893487725
2020-12-05,9659782.07114951
2020-12-06,9686210.656230716
2020-12-07,9712061.793974929
2020-12-08,9737367.257112592
2020-12-09,9762160.475464988
2020-12-10,9786476.565755708
2020-12-11,9810352.3616318
2020-12-12,9833826.443892615
2020-12-13,9856939.170929871
2020-12-14,9879732.709373279
2020-12-15,9902251.064947048
2020-12-16,9924540.113535058
2020-12-17,9946647.63245372
2020-12-18,9968623.331934934
2020-12-19,9990518.886816759
2020-12-20,10012387.968443524
2020-12-21,10034286.27677412
2020-12-22,10056271.572700381
2020-12-23,10078403.710572418
2020-12-24,10100744.670934033
2020-12-25,10123358.593466295
2020-12-26,10146311.81014063
2020-12-27,10169672.87857983
2020-12-28,10193512.61562772
2020-12-29,10217904.131129129
2020-12-30,10242922.861917464
2020-12-31,10268646.60601029
2021-01-01,10295155.557015885
